customer_id,name,phone
1,Thành Mai Trần,+84-41-291504
2,Cô Yến Trần,+84 16 0160915
3,Trung Dương,01 1155 3356
4,Hưng Mai,+84-56-715 1572
5,Chị Khoa Bùi,+84-04-060 9029
6,Châu Thế Mai,(04)460-9568
7,Quý cô Vân Bùi,+84 74 3103428
8,Quý ông Tùng Nguyễn,(02)317-6407
9,Khoa Thị Nguyễn,06 2087089
10,Quý ông Trung Đặng,03 0908217
11,Nhiên Mai,07 9761 3350
12,Hương Bùi,06 0309395
13,Phúc Đặng,(09)233-3974
14,Phúc Lê,02 1037044
15,Dương Mai,08 2496 5343
16,Dũng Hoàng,(01) 4999 3004
17,Khoa Đặng,+84-31-622 1969
18,Bác Thành Dương,(05)869-1939
19,Bà Xuân Mai,(02)813-2871
20,Minh Hoàng,(08)041-9820
21,Hương Mai,+84-00-436406
22,Ông Tú Bùi,+84-91-836849
23,Hải Vũ,06 2112016
24,Nhiên Hải Bùi,(08)079-7785
25,Hồng Lê,08 4387 2492
26,Lâm Đặng,+84 39 3046567
27,Phúc Hoàng,09 0077 0248
28,Phúc Trần,+84-39-757 0426
29,Thành Vũ,(03)948-2919
30,Xuân Đặng,+84-26-806801
31,Hạnh Dương,02 2303 0408
32,Quý cô Hồng Dương,(08) 1527 5859
33,Thành Hoàng,+84-78-039 9301
34,Phúc Hữu Dương,(08) 2423 8258
35,Anh Trí Vũ,07 5502 7067
36,Quý ông Khoa Đặng,+84-93-524 8022
37,Quý cô Nhật Trần,+84-51-245677
38,Minh Vũ,04 4361 7198
39,Lan Dương,(08)564-5319
40,Ngọc Nguyễn,+84 14 6200966
41,An Quang Vũ,09 9518359
42,Khoa Quang Nguyễn,+84-28-321 3083
43,Bác Châu Nguyễn,05 4619903
44,Chị Lâm Phạm,01 2200 3460
45,Bà Thảo Trần,(02)271-2857
46,Trung Hải Phạm,00 9397 9867
47,Quang Phạm,(05)866-0980
48,Ánh Hoàng,+84-05-408 3055
49,Chị Nhật Phạm,+84-74-732 4858
50,Bà Hà Vũ,04 8479 0896
51,Ông Nhiên Đặng,+84-00-102960
52,Hạnh Quang Đặng,(07) 9031 7453
53,Phúc Vũ,08 2108 6501
54,Hà Hữu Phạm,(00)176-0574
55,Tú Hoàng,04 0402014
56,Thành Hữu Phạm,(07)245-3124
57,Bà Phương Nguyễn,(03) 7254 7400
58,Quý ông Huy Trần,08 9977324
59,Tú Mai,04 3589992
60,Bảo Dương,(07) 7914 2240
61,Bà Vân Nguyễn,09 0648247
62,Ông Hoàng Nguyễn,+84 91 3537190
63,Quý cô Vi Hoàng,(05)005-5972
64,Khoa Hoàng,+84-03-646230
65,Bác Hưng Trần,(08)158-8748
66,An Nguyễn,+84-21-062551
67,Vi Nguyễn,+84-56-345 2394
68,Chị Thảo Mai,(00) 2468 2573
69,Nam Hải Hoàng,07 4044130
70,Phương Trần,+84-34-290854
71,Minh Trần,07 6418472
72,Bà Nhật Mai,(00) 0135 9052
73,Cô Hạnh Mai,01 9068980
74,Thành Bảo Lê,+84-29-365291
75,Hồng Lê,+84-09-928 3473
76,Quý cô Vi Hoàng,07 6001 0457
77,Hạnh Dương,00 8676343
78,Chị An Phạm,06 8471758
79,Ngọc Phạm,(02)566-4255
80,Ánh Phạm,(01) 2709 7380
81,Bà Xuân Vũ,(05) 1574 2786
82,Bảo Đức Phạm,(05) 6921 8928
83,Chị Lâm Bùi,01 9070 8143
84,Cô Vi Hoàng,03 9158703
85,Quang Đức Lê,(03)295-6262
86,Khoa Phú Trần,+84 03 3711299
87,Cô Mai Đặng,+84-81-625 3819
88,Bác Nhiên Lê,(00)642-7523
89,Lan Nguyễn,+84 02 2662901
90,Quý cô Linh Bùi,07 5834252
91,Anh Tú Dương,+84-87-222 0521
92,Vi Phạm,04 3263521
93,Ánh Trần,03 2497 8787
94,Hà Tấn Dương,+84 02 9342553
95,Bà Dương Mai,+84 73 1725959
96,Chị Hạnh Phạm,+84 14 5923316
97,Linh Đặng,00 0521 2359
98,Ông Huy Vũ,+84-63-512329
99,Kim Mai Bảo Phạm,+84-83-012 0800
100,Hải Phú Hoàng,+84 41 9672890
101,Duyên Dương,(07) 8128 9796
102,Kim Lê,06 6012574
103,An Trần,+84-33-031 9632
104,Duyên Trần,+84-79-583 9543
105,Lan Đặng,(02)716-6489
106,Nhiên Thị Vũ,+84-08-895 7130
107,Hưng Vũ,01 9423146
108,Cô Phương Hoàng,02 1185 0413
109,Hoàng Đức Mai,(08)578-4083
110,Phương Vũ,(04)315-5201
111,Xuân Nguyễn,(02)912-9425
112,Chị Hồng Dương,+84-04-617 4414
113,Hưng Đức Hoàng,(03)926-0029
114,Cô Hạnh Dương,(08)160-8777
115,Ông Bảo Bùi,05 5905321
116,Khoa Vũ,(08) 4731 4767
117,Kim Hoàng,+84-83-126323
118,Quý cô Ngọc Đặng,00 9796497
119,Thành Thế Nguyễn,+84 57 9791844
120,Thành Vũ,08 3809556
121,Quý ông Vũ Phạm,+84-12-957 2793
122,Quý cô Lâm Mai,02 9337 3566
123,Ông Bảo Mai,+84 67 1791778
124,Lâm Tấn Vũ,00 1409066
